flavor,orders since 2010,quantity since 2010,orders since 2007,quantity since 2007
110283,55,374,105,772
110280,312,3710,658,8476
120492,0,0,4,19
10858,5,119,7,143
110916,8,16,22,52
110447,10,354,22,638
110440,3,30,3,30
110911,27,395,57,752
110448,12,24,22,52
120650,3,24,7,56
140691,1,10,2,17
140693,0,0,1,2
140694,0,0,1,2
140695,0,0,1,2
140696,0,0,1,2
130602,2,80,3,94
130605,3,23,11,87
130609,0,0,1,4
140740,1,8,2,16
140741,1,8,2,48
140746,0,0,1,8
140747,0,0,1,8
140745,0,0,1,8
140748,0,0,1,16
140749,15,714,16,746
140219,9,114,15,434
140584,3,18,5,34
140580,71,385,97,545
140581,3,20,9,68
140582,0,0,1,8
140583,16,92,21,140
140588,1,8,1,8
140589,6,64,9,112
140962,3,24,3,24
140963,1,50,1,50
140960,7,56,7,56
10670,7,44,14,88
140965,1,7,1,7
130047,12,1026,23,1636
130045,0,0,4,110
140360,0,0,1,50
140362,1,160,16,3480
140364,0,0,2,12
140365,2,4,5,112
140366,0,0,1,8
140367,0,0,2,14
121052,1,25,1,25
180238,1,50,1,50
130687,2,16,2,16
120879,0,0,1,8
120872,4,80,14,200
120877,6,17,12,30
120906,7,38,13,86
20960,0,0,1,8
140406,0,0,1,8
160124,1,7,3,23
160125,7,324.8,8,364.8
160129,4,144,8,352
111091,4,360,4,360
110452,11,344,22,590
111273,6,400,12,880
111274,1,25,2,50
110455,3,12,4,20
111276,11,104,21,184
120310,2,10,3,20
180062,18,4545,26,7785
180060,0,0,1,4
180066,6,540,10,990
170183,1,2,4,8
170181,5,40,6,48
170180,11,344,14,408
170187,0,0,1,2
170186,6,80,6,80
170184,4,56,6,88
110702,8,52,15,114
110877,23,180,30,274
170188,0,0,1,1.8
110871,3,90,8,235
110873,15,142,26,344
130547,0,0,1,1
170568,2,18,2,18
180087,0,0,2,16
130542,0,0,1,8
180083,0,0,1,7
130540,2,16,3,24
170564,1,8.8,1,8.8
130549,0,0,1,1
130548,0,0,1,1
11224,17,994,29,2426
140026,4,30,4,30
110677,3,6,6,32
170367,1,8,1,8
110679,1,8,9,24
170415,1,30,1,30
170417,1,30,1,30
170416,1,30,1,30
170411,1,2,1,2
170413,1,30,1,30
170419,1,30,1,30
170418,1,30,1,30
110054,1,7,3,23
120483,2,4,6,12
120481,5,22,20,82
120485,2,16,4,32
110453,7,32,19,408
180242,1,24,1,24
110457,6,30,13,56
120648,0,0,1,2
180245,1,8,1,8
110902,1,2,1,2
120313,3,75,6,155
110224,0,0,1,52
110459,0,0,4,13
